#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      5.97e+01      4.27e-01      9.73e-01    1.0e-03
   1000      7.37e+00      1.49e-02      7.07e-01    1.0e-03
   2000      3.45e+00      8.39e-05      3.45e-01    1.0e-03
   3000      5.07e+00      2.95e-02      2.99e-01    1.0e-03
   4000      7.90e+00      5.51e-02      2.12e-01    1.0e-03
   5000      2.35e+00      1.19e-02      1.68e-01    1.0e-03
   6000      2.58e+00      9.43e-03      2.23e-01    1.0e-03
   7000      1.08e+01      7.60e-02      2.53e-01    1.0e-03
   8000      2.71e+00      8.96e-03      2.40e-01    1.0e-03
   9000      5.34e+00      4.77e-03      5.28e-01    1.0e-03
  10000      8.68e+00      9.17e-04      8.72e-01    9.9e-04
  11000      1.16e+01      7.77e-03      1.16e+00    9.9e-04
  12000      7.62e+00      5.70e-03      7.60e-01    9.9e-04
  13000      4.18e+00      7.53e-03      4.06e-01    9.9e-04
  14000      5.61e+00      9.59e-03      5.33e-01    9.9e-04
  15000      1.95e+00      5.35e-03      1.81e-01    9.9e-04
  16000      2.73e+00      1.82e-03      2.73e-01    9.9e-04
  17000      2.44e+00      3.39e-03      2.41e-01    9.9e-04
  18000      9.08e+00      1.24e-02      9.06e-01    9.9e-04
  19000      3.95e+00      1.80e-02      3.08e-01    9.9e-04
  20000      9.24e+00      3.82e-02      8.66e-01    9.8e-04
  21000      3.61e+00      1.69e-03      3.62e-01    9.8e-04
  22000      5.01e+00      1.77e-02      4.79e-01    9.8e-04
  23000      3.98e+01      4.38e-01      8.62e-01    9.8e-04
  24000      3.95e+00      1.05e-02      3.70e-01    9.8e-04
  25000      2.60e+00      4.95e-05      2.63e-01    9.8e-04
  26000      1.75e+00      1.11e-03      1.76e-01    9.8e-04
  27000      5.45e+00      8.60e-03      5.25e-01    9.8e-04
  28000      2.21e+00      8.90e-03      1.46e-01    9.8e-04
  29000      3.18e+00      7.71e-03      3.02e-01    9.8e-04
  30000      4.37e+00      2.90e-02      1.85e-01    9.8e-04
  31000      1.78e+00      3.32e-04      1.80e-01    9.8e-04
  32000      3.09e+00      1.41e-03      3.12e-01    9.8e-04
  33000      1.70e+00      2.23e-03      1.69e-01    9.8e-04
  34000      1.68e+00      5.15e-03      1.53e-01    9.8e-04
  35000      1.91e+00      4.20e-03      1.84e-01    9.7e-04
  36000      3.19e+00      3.52e-03      3.20e-01    9.7e-04
  37000      1.48e+00      1.42e-03      1.49e-01    9.7e-04
  38000      1.67e+00      4.51e-04      1.69e-01    9.7e-04
  39000      2.31e+00      1.07e-02      1.82e-01    9.7e-04
  40000      2.64e+00      1.54e-02      1.59e-01    9.7e-04
  41000      1.16e+00      1.22e-03      1.15e-01    9.7e-04
  42000      1.51e+00      8.51e-04      1.53e-01    9.7e-04
  43000      1.65e+00      5.72e-03      1.47e-01    9.7e-04
  44000      1.23e+00      2.37e-03      1.20e-01    9.7e-04
  45000      2.40e+00      9.03e-03      1.74e-01    9.7e-04
  46000      2.18e+00      1.27e-02      1.30e-01    9.7e-04
  47000      1.27e+00      2.97e-03      1.17e-01    9.7e-04
  48000      1.50e+00      3.90e-03      1.42e-01    9.7e-04
  49000      1.66e+00      4.83e-03      1.41e-01    9.7e-04
  50000      5.74e+00      5.00e-03      5.83e-01    9.6e-04
  51000      2.33e+00      8.49e-03      2.25e-01    9.6e-04
  52000      1.10e+00      9.05e-04      1.12e-01    9.6e-04
  53000      9.45e-01      2.78e-03      8.83e-02    9.6e-04
  54000      1.25e+00      1.86e-03      1.24e-01    9.6e-04
  55000      2.11e+00      6.46e-03      1.96e-01    9.6e-04
  56000      1.04e+00      8.11e-04      1.06e-01    9.6e-04
  57000      1.51e+00      1.79e-03      1.52e-01    9.6e-04
  58000      1.42e+00      3.90e-03      1.25e-01    9.6e-04
  59000      1.44e+00      3.46e-03      1.44e-01    9.6e-04
  60000      1.31e+00      1.06e-03      1.33e-01    9.5e-04
  61000      1.19e+00      3.88e-03      1.10e-01    9.5e-04
  62000      1.14e+00      8.99e-04      1.16e-01    9.5e-04
  63000      1.32e+00      5.29e-03      1.13e-01    9.5e-04
  64000      1.01e+00      1.15e-03      1.02e-01    9.5e-04
  65000      1.07e+00      1.28e-03      1.08e-01    9.5e-04
  66000      9.96e-01      1.66e-03      9.93e-02    9.5e-04
  67000      1.59e+00      7.17e-03      1.27e-01    9.5e-04
  68000      6.13e+00      4.04e-02      5.14e-01    9.5e-04
  69000      1.38e+00      5.27e-03      1.20e-01    9.5e-04
  70000      1.49e+00      7.13e-03      1.16e-01    9.5e-04
  71000      1.05e+00      1.85e-03      1.05e-01    9.5e-04
  72000      1.30e+00      2.60e-03      1.28e-01    9.5e-04
  73000      9.25e-01      1.13e-03      9.37e-02    9.5e-04
  74000      1.12e+00      2.94e-03      1.07e-01    9.5e-04
  75000      1.07e+00      4.87e-04      1.10e-01    9.4e-04
  76000      6.48e-01      5.99e-03      3.97e-02    9.4e-04
  77000      1.28e+00      5.95e-03      1.03e-01    9.4e-04
  78000      9.98e-01      3.41e-04      1.03e-01    9.4e-04
  79000      1.53e+00      2.18e-04      1.58e-01    9.4e-04
  80000      1.05e+00      1.99e-03      1.04e-01    9.4e-04
  81000      1.26e+00      5.22e-03      1.08e-01    9.4e-04
  82000      1.72e+00      3.44e-04      1.77e-01    9.4e-04
  83000      1.29e+00      1.86e-03      1.31e-01    9.4e-04
  84000      8.60e-01      3.26e-03      7.62e-02    9.4e-04
  85000      1.16e+00      3.25e-03      1.11e-01    9.4e-04
  86000      1.99e+00      4.67e-04      2.05e-01    9.4e-04
  87000      9.41e-01      2.81e-03      8.88e-02    9.4e-04
  88000      8.91e-01      1.94e-03      8.80e-02    9.4e-04
  89000      1.09e+00      4.27e-03      9.60e-02    9.4e-04
  90000      1.50e+00      5.03e-03      1.38e-01    9.3e-04
  91000      7.73e-01      1.44e-03      7.74e-02    9.3e-04
  92000      4.79e+00      5.38e-02      1.18e-01    9.3e-04
  93000      3.78e-01      2.04e-03      3.45e-02    9.3e-04
  94000      1.20e+00      5.94e-03      9.31e-02    9.3e-04
  95000      7.70e-01      2.92e-03      6.88e-02    9.3e-04
